MeasureID,MeasureDescription,MeasureDescriptionF,,
502453,1/2 piece,1/2 morceau,,
502454,1/4,1/4,,
502459,4 pieces,4 morceaux,,
502462,1 order,1 commande,,
502463,1 bulb peeled,1 bulbe pelé,,
502464,"5 bulbs, peeled",5 bulbes pelés,,
502469,15 chips,15 croustilles,,
502470,12 chips,12 croustilles,,
502471,"20 chips
",20 croustilles,,
502473,15 crackers,15 craquelins,,
502474,1 mini eclair,1 mini éclair,,
502475,"1 can, drained solids, bone and skin removed","1 boîte, égouttée, peau et os retirés",,
502476,"1 can, drained",1 boîte égoutée,,
502477,1 slice presliced,1 tranche prétranchée,,
502478,1 bun,1 pain,,
502479,1/2 large bagel,1/2 gros bagel,,
502480,"1 pizza (14"")","1 pizza (14"")",,
502481,1 taco,1 taco,,
502485,1 fruit (11.9 cm x 7 cm dia),"1 fruit (11,9 cm x 7 cm dia)",,
502486,1 regular slice,1 tranche régulière,,
502487,1 extra thick slice,1 tranche très épaisse,,
502488,60ml crumbs,60ml miettes,,
502489,125ml crumbs,125ml miettes,,
502491,1 large container (200ml),"1 gros contenant (200ml)
",,
502492,1 outer leaf,1 feuille extérieure,,
502493,1 inner leaf,1 feuille intérieure,,
502494,1 can (250ml),1 cannette (250ml),,
502495,1 can (473ml),1 cannette (473ml),,
502496,1 can (650 ml),1 cannette (650ml),,
502497,1 can (444 ml),1 cannette (444ml),,
502498,1 bottle (60ml),1 bouteille (60ml),,
502499,1 slice or roll,1 tranche ou pain mollet,,
502500,1 piece (17.8 cm dia),1 morceau (17.8 cm dia),,
502501,1 piece (20 cm dia),1 morceau (20 cm dia),,
502502,"1 slice, shaved","1 tranche, émincée",,
502503,1 individual package,1 portion individuelle,,
502504,1/6 of 12''pizza,1/6 d'une pizza de 12'',,
502505,1/8 of a 14''pizza,1/8 d'une pizza de 14'',,
502508,"1 fruit, without seeds and skin","1 fruit, sans la peau ni les pépins",,
502509,100ml seeds/ arils,100ml graines/ arilles,,
502510,125ml seeds / arils,100ml graines / arilles,,
502511,250ml seeds / arils,250ml graines / arilles,,
502512,60ml seeds / arils,60ml graines / arilles,,
502514,1 fruit (10cm diam.),1 fruit (10cm diam.),,
502515,1 onion,1 oignon,,
502516,"6 rings
",6 rondelles,,
502517,15ml whole,15ml entier,,
502518,30ml ground,30ml ground,,
502519,1 scoop,1 mesurette,,
502521,1 lobster,1 homard,,
502523,1 steak,1 bifteck,,
502524,1 cookie (average of brands),1 biscuit (moyenne de différentes marques),,
502525,1 very large cookie (approx. 9 - 10cm diam),1 très gros biscuit (approx. 9 à 10cm diam.),,
502526,1 round cracker,1 craquelin rond,,
502527,1 frozen crust,1 croûte congelée,,
502528,1 miniature bar,1 barre miniature,,
502529,"1 sub, 6 inch (15cm)","1 sous-marin, 6 pouces (15 cm)",,
502530,26 pieces,26 morceaux,,
502533,23 pieces,23 morceaux,,
502534,55 crackers,55 craquelins,,
502535,8 pieces,8 morceaux,,
502536,5 pieces,5 morceaux,,
502549,8 cookies,8 biscuits,,
502553,1 can (569ml),1 boîte (569ml),,
502562,1 rack,1 carré,,
502598,5 ml ground,5 ml moulu,,
502599,5ml whole,5ml entier,,
502600,1 small fruit (6.9cm dia),1 petit fruit (6.9 cm dia),,
502601,1 medium fruit (7.6 cm dia),1 fruit moyen (7.6cm dia),,
502602,1 extra small fruit (6.4cm dia),1 très petit fruit (6.4 cm dia),,
502603,1 thigh with skin,1 haut de cuisse avec peau,,
502604,1 thigh without skin,1 haut de cuisse sans la peau,,
502605,1/4 sausage ring,1/4 anneau,,
502606,1 extra large (7.6 cm dia),1 très gros (7.6cm dia),,
502616,"1 shank, cross cut","1 jarret, coupe transversale",,
502617,1 large (20-25 cm dia),1 gros (20-25 cm dia),,
502618,1 small (12-15 cm dia),1 petit (12-15 cm dia),,
502619,1/6 package,1/6 emballage,,
502620,1/10 ring,1/10 anneau,,
502621,1/9 package,1/9 emballage,,
502677,1 frozen container,1 contenant congelé,,
502678,1 bottle (591 ml),1 bouteille (591 ml),,
502679,1 small (4.4 cm to 5.7 cm),1 petit (4.4 cm à 5.7 cm,,
502680,1 medium (5.7 cm to 7.6 cm),1 moyen (5.7 cm to 7.6 cm),,
502681,1 large (7.6 cm to 10.8 cm),1 gros (7.6 cm à 10.8 cm),,
